City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,cidreira,-30.1811,-50.2056,24.2,80,15,6.42,BR,1675820927
99,pyapon,16.2833,95.6833,23.96,49,7,5.12,MM,1675821105
100,naze,28.3667,129.4833,17.51,70,100,6.55,JP,1675821025
101,sokoto,13.0609,5.239,21.33,17,70,4.69,NG,1675821105
102,swellendam,-34.0226,20.4417,17.76,89,86,3.34,ZA,1675821106
103,chokurdakh,70.6333,147.9167,-38.15,99,100,1.62,RU,1675821106
104,kapaa,22.0752,-159.319,26.18,88,100,6.17,US,1675820904
105,luchenza,-16.0069,35.3095,19.27,96,50,2.69,MW,1675821106
106,thompson,55.7435,-97.8558,-15.91,85,100,1.54,CA,1675821107
107,champerico,14.3,-91.9167,25.92,70,7,2.94,GT,1675821107
108,goure,13.9835,10.2704,18.3,21,99,4.2,NE,1675821107
109,fort nelson,58.8053,-122.7002,-9.23,86,20,1.03,CA,1675821070
110,iwanai,42.9744,140.5089,-1.59,64,100,4.52,JP,1675821108
111,teknaf,20.8624,92.3058,20.2,55,0,1.49,BD,1675821108
112,tambopata,-12.7333,-69.1833,22.02,98,56,0.64,PE,1675821109
113,dunedin,-45.8742,170.5036,15.88,46,61,7.65,NZ,1675821109
114,matagami,49.7502,-77.6328,-5.94,86,100,7.2,CA,1675820925
115,lalibela,12.0333,39.0333,12.6,35,6,1.5,ET,1675821109
116,constitucion,-35.3333,-72.4167,15.37,71,0,4.13,CL,1675821110
117,aklavik,68.2191,-135.0107,-29.07,95,100,3.57,CA,1675821110
118,aras,42.5617,-2.356,0.98,100,100,1.54,ES,1675821111
119,kaniama,-7.5667,24.1833,18.48,97,100,1.42,CD,1675821111
120,boende,-0.2167,20.8667,23.82,61,100,1.15,CD,1675821111
121,yellowknife,62.456,-114.3525,-19.71,77,75,2.57,CA,1675821112
122,ugoofaaru,5.6667,73.0,26.92,67,16,2.9,MV,1675821112
123,paita,-5.0892,-81.1144,24.05,83,69,3.48,PE,1675821112
124,lidkoping,58.5052,13.1577,4.01,97,100,6.31,SE,1675821113
125,porto walter,-8.2686,-72.7439,22.04,97,95,0.44,BR,1675821113
126,hluti,-27.2167,31.6167,19.87,96,70,0.9,SZ,1675821113
127,ust-kulom,61.6864,53.6902,-9.25,94,100,3.75,RU,1675821114
128,veinticinco de mayo,-35.4323,-60.1727,23.32,69,0,3.44,AR,1675821114
129,butaritari,3.0707,172.7902,27.19,81,100,9.8,KI,1675821115
130,lakatoro,-16.0999,167.4164,28.03,71,100,1.12,VU,1675821115
131,san jose,37.3394,-121.895,14.45,61,40,3.09,US,1675820879
132,port hardy,50.6996,-127.4199,4.1,93,75,2.57,CA,1675820934
133,porto velho,-8.7619,-63.9039,25.03,94,75,0.0,BR,1675821065
134,saint-augustin,51.226,-58.6502,-19.6,86,17,2.3,CA,1675821116
135,lasa,46.6166,10.7002,-4.99,79,30,0.23,IT,1675821116
136,luau,-10.7073,22.2247,17.64,93,100,1.41,AO,1675821116
137,nikolskiy,60.9151,34.0645,-3.88,93,100,4.69,RU,1675821117
138,hobart,-42.8794,147.3294,17.37,67,75,6.69,AU,1675821014
139,hay river,60.8156,-115.7999,-20.01,77,40,2.06,CA,1675821117
140,mandalgovi,45.7625,106.2708,-12.03,86,95,2.3,MN,1675821118
141,awbari,26.5921,12.7805,12.69,34,97,5.96,LY,1675821118
142,mapiripan,2.8892,-72.1256,26.36,57,71,2.0,CO,1675821118
143,tasiilaq,65.6145,-37.6368,-16.91,37,0,12.66,GL,1675821119
144,nola,40.922,14.5329,5.92,72,21,2.24,IT,1675821119
145,tiksi,71.6872,128.8694,-36.11,99,100,2.49,RU,1675821119
146,qaqortoq,60.7167,-46.0333,-24.37,65,0,3.24,GL,1675821120
147,sambava,-14.2667,50.1667,23.49,89,83,3.16,MG,1675821120
148,hasaki,35.7333,140.8333,11.27,68,100,9.42,JP,1675821121
149,airai,-8.9266,125.4092,21.13,78,77,1.4,TL,1675821121
150,miramar,25.9873,-80.2323,23.9,67,20,5.66,US,1675821019
151,kidal,18.4411,1.4078,23.77,14,90,3.12,ML,1675821123
152,faanui,-16.4833,-151.75,27.28,73,24,5.43,PF,1675820999
153,saint-philippe,-21.3585,55.7679,24.77,83,90,6.32,RE,1675821125
154,vilyuysk,63.7553,121.6247,-36.67,97,99,0.79,RU,1675821127
155,mabaruma,8.2,-59.7833,21.89,99,18,0.94,GY,1675821129
156,port alfred,-33.5906,26.891,20.66,89,100,1.79,ZA,1675821130
157,bathsheba,13.2167,-59.5167,24.34,88,75,8.75,BB,1675821130
158,ginir,7.1333,40.7,13.57,39,1,1.04,ET,1675821131
159,jalu,29.0331,21.5482,9.23,58,68,2.88,LY,1675821132
160,castro,-24.7911,-50.0119,16.77,93,62,2.36,BR,1675821119
161,sijunjung,-0.6876,100.9537,24.71,61,100,0.27,ID,1675821139
162,vila velha,-20.3297,-40.2925,26.97,89,75,3.6,BR,1675820996
163,clyde river,70.4692,-68.5914,-34.87,68,0,2.06,CA,1675821141
164,mogadishu,2.0371,45.3438,24.38,85,10,7.23,SO,1675820875
165,mildura,-34.2,142.15,27.26,40,0,4.02,AU,1675821145
166,isangel,-19.55,169.2667,27.53,79,89,1.45,VU,1675821147
167,ucluelet,48.9329,-125.5528,7.17,76,31,8.25,CA,1675821149
168,puerto baquerizo moreno,-0.9,-89.6,25.45,81,15,2.53,EC,1675821150
169,bredasdorp,-34.5322,20.0403,18.54,79,11,3.16,ZA,1675821151
170,high level,58.5169,-117.136,0.06,55,0,2.06,CA,1675821153
171,port macquarie,-31.4333,152.9167,25.5,62,85,2.75,AU,1675821154
172,carnarvon,-24.8667,113.6333,28.8,52,0,7.04,AU,1675821154
173,victoria,22.2855,114.1577,19.1,85,97,6.71,HK,1675820891
174,gwadar,25.1216,62.3254,21.39,66,1,2.18,PK,1675821155
175,coahuayana,18.7333,-103.6833,22.17,90,13,0.24,MX,1675821155
176,cayenne,4.9333,-52.3333,25.02,88,75,1.54,GF,1675821156
177,hazorasp,41.3194,61.0742,2.91,65,100,5.14,UZ,1675821156
178,acarau,-2.8856,-40.12,25.39,84,100,3.67,BR,1675821157
179,hervey bay,-25.2986,152.8535,26.93,60,71,8.67,AU,1675821157
180,sioux lookout,50.1001,-91.917,-7.96,73,40,2.57,CA,1675821157
181,labuhan,-6.8844,112.2051,25.3,88,100,3.41,ID,1675821158
182,andenes,69.3143,16.1194,4.4,70,20,12.35,NO,1675821158
183,walvis bay,-22.9575,14.5053,18.94,88,32,2.57,NA,1675821138
184,rawson,-43.3002,-65.1023,18.65,60,3,2.85,AR,1675821159
185,provideniya,64.3833,-173.3,-18.94,65,100,3.0,RU,1675821159
186,tarko-sale,64.9225,77.785,-26.57,100,99,2.68,RU,1675821159
187,kumo,10.0447,11.2122,21.86,22,43,4.09,NG,1675821160
188,sola,-13.8833,167.55,27.72,77,94,6.54,VU,1675821160
189,ler,8.3018,30.1418,23.52,17,0,3.26,SS,1675821161
190,keetmanshoop,-26.5833,18.1333,23.0,48,35,3.15,NA,1675821161
191,grand forks,47.9417,-97.4337,-0.04,80,0,6.17,US,1675821161
192,khandyga,62.6667,135.6,-39.59,97,98,0.55,RU,1675821162
193,grande prairie,55.1667,-118.8027,-5.9,68,75,3.09,CA,1675821093
194,east london,-33.0153,27.9116,21.49,84,100,5.18,ZA,1675821162
195,yar-sale,66.8333,70.8333,-14.8,84,100,9.16,RU,1675821162
196,heihe,50.2441,127.4902,-26.68,95,100,1.29,CN,1675821163
197,dalvik,65.9702,-18.5286,-5.04,74,100,5.87,IS,1675821163
198,qaanaaq,77.484,-69.3632,-31.78,67,4,2.79,GL,1675820876
199,kahului,20.8947,-156.47,27.01,71,40,9.26,US,1675821164
200,ibra,22.6906,58.5334,17.85,58,35,0.67,OM,1675821164
201,rio gallegos,-51.6226,-69.2181,14.03,77,0,9.77,AR,1675821039
